OBJECTID,COLDETKEY,ST_PARTCPNT_TYPE_DESC,ST_POSTEDSPD,ST_RDSURF_DESC,ST_TRAFCONTRL_DESC,ST_VEH_ACT_DESC,ST_VEH_CND_DESC,ST_VEH_TYPE_DESC,Incident Date,Report Number,x,y
2115876,381449,Vehicle,25,Concrete,Stop Sign,Going Straight Ahead,No Defects,Passenger Car,3/8/2025,3838034,-122.3061973,47.59589753
2115877,380550,Vehicle,25,Concrete,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,1/20/2025,3930719,-122.3270854,47.60557738
2115878,380550,Vehicle,25,Concrete,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/20/2025,3930719,-122.3270854,47.60557738
2115879,380550,Vehicle,,,,"Legally Parked, Unoccupied",No Defects,Passenger Car,1/20/2025,3930719,-122.3270854,47.60557738
2115882,380700,Vehicle,,Concrete,No Traffic Control,Other,,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/7/2025,3929980,-122.3316947,47.53360335
2115890,382021,Vehicle,,Unknown,No Traffic Control,Going Straight Ahead,No Defects,Other,2/27/2025,EF70370,-122.3370168,47.59177887
2115891,382021,Vehicle,,Unknown,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/27/2025,EF70370,-122.3370168,47.59177887
2115893,380541,Vehicle,20,Blacktop,Stop Sign,Going Straight Ahead,No Defects,Bus or Motor Stage,1/26/2025,3929907,-122.3194803,47.61525082
2115894,380065,Vehicle,,Unknown,Signals,Changing Lanes,No Defects,Not Stated,1/7/2025,EF54148,-122.3763956,47.67596794
2115895,380065,Vehicle,,Unknown,Signals,Going Straight Ahead,No Defects,Passenger Car,1/7/2025,EF54148,-122.3763956,47.67596794
2115897,379984,Vehicle,25,Blacktop,Signals,Making Left Turn,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",12/31/2024,3929850,-122.3127338,47.61997298
2115900,380060,Vehicle,25,Blacktop,,Making Left Turn,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/12/2025,3930337,-122.3004873,47.71042562
2115901,380060,Vehicle,25,Blacktop,,Going Straight Ahead,No Defects,Passenger Car,1/12/2025,3930337,-122.3004873,47.71042562
2115918,381443,Vehicle,25,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,3/11/2025,3931654,-122.3133715,47.57820026
2115919,381443,Vehicle,25,Blacktop,No Traffic Control,"Legally Parked, Unoccupied",No Defects,Passenger Car,3/11/2025,3931654,-122.3133715,47.57820026
2115932,381088,Vehicle,20,Blacktop,Other Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/22/2025,3924405,-122.403602,47.65677254
2115933,381088,Vehicle,20,Blacktop,Other Traffic Control,Stopped in Roadway,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/22/2025,3924405,-122.403602,47.65677254
2115936,380558,Vehicle,,Concrete,No Traffic Control,Backing,No Defects,Passenger Car,1/22/2025,3925921,-122.2791182,47.53430221
2115937,380558,Vehicle,,Concrete,No Traffic Control,"Legally Parked, Unoccupied",Motorcycle Windshield Installed,Passenger Car,1/22/2025,3925921,-122.2791182,47.53430221
2115938,380558,Vehicle,,,,"Legally Parked, Unoccupied",,Passenger Car,1/22/2025,3925921,-122.2791182,47.53430221
2115939,380558,Vehicle,,,,"Legally Parked, Unoccupied",,Passenger Car,1/22/2025,3925921,-122.2791182,47.53430221
2115940,380558,Vehicle,,Concrete,No Traffic Control,"Legally Parked, Unoccupied",No Defects,Passenger Car,1/22/2025,3925921,-122.2791182,47.53430221
2115941,380558,Vehicle,,,,"Legally Parked, Unoccupied",,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/22/2025,3925921,-122.2791182,47.53430221
2115942,380558,Vehicle,,Concrete,No Traffic Control,"Legally Parked, Unoccupied",No Defects,Passenger Car,1/22/2025,3925921,-122.2791182,47.53430221
2115944,381640,Vehicle,30,Concrete,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",3/4/2025,EF71352,-122.3548133,47.5687286
2115945,381640,Vehicle,30,Concrete,No Traffic Control,Slowing,No Defects,Passenger Car,3/4/2025,EF71352,-122.3548133,47.5687286
2115946,381640,Vehicle,,Concrete,No Traffic Control,Stopped for Traffic,No Defects,Passenger Car,3/4/2025,EF71352,-122.3548133,47.5687286
2115947,381702,Vehicle,25,Concrete,Signals,Going Straight Ahead,No Defects,Not Stated,1/16/2025,3924413,-122.3430674,47.61250758
2115948,381702,Vehicle,25,Concrete,Signals,Going Straight Ahead,No Defects,Passenger Car,1/16/2025,3924413,-122.3430674,47.61250758
2115953,381436,Vehicle,25,Blacktop,Stop Sign,Making Right Turn,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",3/2/2025,EF71832,-122.3294099,47.5659699
2115954,381436,Vehicle,25,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,3/2/2025,EF71832,-122.3294099,47.5659699
2115962,380801,Vehicle,25,Blacktop,Signals,Making Left Turn,No Defects,Passenger Car,2/8/2025,EF63899,-122.3762031,47.56504419
2115963,380801,Vehicle,25,Blacktop,Signals,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/8/2025,EF63899,-122.3762031,47.56504419
2115974,381801,Vehicle,25,Concrete,No Traffic Control,Making Right Turn,No Defects,Passenger Car,2/23/2025,3924298,-122.334294,47.62316809
2115975,381801,Vehicle,25,Concrete,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/23/2025,3924298,-122.334294,47.62316809
2115976,379982,Vehicle,25,Blacktop,No Traffic Control,Going Straight Ahead,,Passenger Car,1/1/2025,3929847,-122.3208413,47.61699162
2115979,381302,Vehicle,30,Concrete,Signals,Going Straight Ahead,No Defects,Passenger Car,2/28/2025,3926269,-122.3367404,47.53973843
2115980,381302,Vehicle,30,Concrete,,Stopped at Signal or Stop Sign,No Defects,Passenger Car,2/28/2025,3926269,-122.3367404,47.53973843
2115981,379849,Vehicle,25,Blacktop,Signals,Going Straight Ahead,Other Defects,Passenger Car,1/3/2025,3925934,-122.3029428,47.58410726
2115982,379849,Vehicle,25,Blacktop,Signals,Stopped at Signal or Stop Sign,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/3/2025,3925934,-122.3029428,47.58410726
2115999,381813,Vehicle,25,Concrete,No Traffic Control,Starting From Parked Position,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",3/26/2025,3929940,-122.3257084,47.6295852
2116000,381813,Vehicle,25,Concrete,No Traffic Control,"Legally Parked, Unoccupied",No Defects,Passenger Car,3/26/2025,3929940,-122.3257084,47.6295852
2116012,380363,Vehicle,,Concrete,Other Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/12/2025,3929904,-122.3282116,47.61651511
2116014,380819,Vehicle,,Concrete,Other Traffic Control,Making Left Turn,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/5/2025,EF63255,-122.2680469,47.51985747
2116015,380819,Vehicle,,Concrete,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,2/5/2025,EF63255,-122.2680469,47.51985747
2116029,381631,Vehicle,,Unknown,No Traffic Control,Going Straight Ahead,No Defects,Not Stated,3/4/2025,EF71008,-122.370078,47.69687074
2116030,381631,Vehicle,,,,"Legally Parked, Unoccupied",,Passenger Car,3/4/2025,EF71008,-122.370078,47.69687074
2116042,380781,Vehicle,25,Blacktop,Signals,Making Left Turn,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/12/2025,3932393,-122.326168,47.54625568
2116043,380545,Vehicle,,Concrete,No Traffic Control,Going Straight Ahead,Defective Headlights,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/31/2025,3926252,-122.4075944,47.56537762
2116044,380545,Vehicle,,Concrete,No Traffic Control,"Legally Parked, Unoccupied",Defective Rear Lights,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/31/2025,3926252,-122.4075944,47.56537762
2116046,380734,Vehicle,25,Blacktop,Signals,Making Right Turn,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/30/2025,3924367,-122.3447868,47.61117845
2116052,381662,Vehicle,35,Concrete,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,3/19/2025,3933890,-122.3445036,47.63759339
2116053,380153,Vehicle,20,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/18/2025,3932097,-122.2794401,47.5519376
2116054,380153,Vehicle,20,Blacktop,No Traffic Control,"Legally Parked, Unoccupied",No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/18/2025,3932097,-122.2794401,47.5519376
2116066,379848,Vehicle,25,Blacktop,Stop Sign,Going Straight Ahead,No Defects,Passenger Car,1/3/2025,3925641,-122.3002975,47.57835627
2116067,379848,Vehicle,25,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,1/3/2025,3925641,-122.3002975,47.57835627
2116068,380401,Vehicle,25,Concrete,No Traffic Control,Backing,No Defects,Passenger Car,1/16/2025,3930664,-122.3750961,47.5679238
