OBJECTID,COMPKEY,UNITID,UNITDESC,MODDTTM,CONDITION
679637,840114,SGL-1169,ALASKAN ER WAY S AND S WASHINGTON ST,10/10/2025,
679638,840114,SGL-1169,ALASKAN ER WAY S AND S WASHINGTON ST,10/10/2025,
679642,845314,SGL-1173,9TH AVE AND SPRING ST,2/21/2025,
679643,846594,SGL-1174,1ST AVE S AND S CHARLES ST,10/10/2025,
679646,858994,SGL-1178,15TH AVE NW AND NW 83RD ST,9/30/2025,
679647,859185,SGL-1179,11TH AVE NW AND NW MARKET ST,10/22/2025,
679650,862038,SGL-1183,ASHWORTH AVE N AND N 130TH ST,4/28/2025,
679652,865092,SGL-1185,33RD AVE NE AND NE 125TH ST,1/9/2025,
679653,865120,SGL-1186,M L KING JR WAY E AND E HARRISON ST,1/9/2025,
679655,869518,SGL-1191,ALASKAN WAY S AND S DEARBORN ST,10/10/2025,EXCELLENT
679657,881228,SGL-1200,PINEHURST WAY NE AND NE 117TH ST,1/9/2025,
679658,881228,SGL-1200,PINEHURST WAY NE AND NE 117TH ST,1/9/2025,
679659,881359,SGL-1201,EASTLAKE AVE E AND REPUBLICAN ST,6/24/2025,
679663,881950,SGL-1205,DEXTER AVE N AND THOMAS ST,1/9/2025,
679664,881982,SGL-1206,18TH AVE AND E MADISON ST,1/9/2025,
679665,882696,SGL-1207,COLUMBIA ST AND WESTERN AVE,10/10/2025,
679666,884538,SGL-1208,14TH AVE S AND DALLAS AVE S,10/10/2025,
679670,916167,SGL-1214,20TH AVE NW AND LEARY AVE NW,10/14/2025,
679671,918904,SGL-1217,EAST MARGINAL WAY S AND S HORTON ST,10/10/2025,
679675,272757,SGL-022,DEARBORN OFF RP AND S DEARBORN ST,10/10/2025,
679677,272759,SGL-249,20TH AVE NW AND NW MARKET ST,8/7/2025,POOR
679680,272762,SGL-679,BELLEVUE AVE AND E DENNY WAY,2/11/2025,FAIR
679681,272763,SGL-270,AURORA AVE N AND N NORTHGATE WAY,10/31/2025,FAIR
679682,272764,SGL-614,ELLIS AVE S AND S MYRTLE ST,10/10/2025,POOR
679685,272767,SGL-364,15TH AVE NE AND NE 47TH ST,8/27/2025,POOR
679686,272768,SGL-370,11TH AVE NE AND NE RAVENNA WB BV,1/10/2025,FAIR
679687,272768,SGL-370,11TH AVE NE AND NE RAVENNA WB BV,1/10/2025,FAIR
679689,272770,SGL-541,RAINIER AVE S AND SEWARD PARK AVE S,1/29/2025,POOR
679690,272771,SGL-518,RAINIER AVE S AND S DEARBORN ST,10/10/2025,POOR
679694,272775,SGL-776,GREEN LAKE WAY N AND N 46TH ST,10/22/2025,POOR
679700,272781,SGL-512,9TH AVE AND JAMES ST,10/10/2025,POOR
679704,272786,SGL-825,5TH AVE S AND S HOLGATE ST,10/10/2025,GOOD
679707,272789,SGL-618,BOEING DR AND EAST MARGINAL WAY S,10/10/2025,FAIR
679713,272794,SGL-247,BALLARD AVE NW AND NW MARKET ST,8/8/2025,POOR
679720,272800,SGL-782,CARLETON AVE S AND S BAILEY ST,10/10/2025,POOR
679721,272801,SGL-20,4TH AVE S AND S JACKSON ST,10/10/2025,FAIR
679722,272802,SGL-676,25TH AVE NE AND NE 44TH ST,8/15/2025,POOR
679725,272805,SGL-394,25TH AVE NE AND MONTLAKE BLVD NE,8/27/2025,POOR
679731,272810,SGL-445,41ST AVE NE AND SAND POINT N WAY NE,8/27/2025,POOR
679732,272811,SGL-446,FISHERMAN TERM DR AND W EMERSON PL,10/10/2025,FAIR
679733,272813,SGL-400,25TH AVE NE AND NE 47TH ST,1/14/2025,POOR
679735,272815,SGL-32,ALASKAN WR WAY AND COLUMBIA ST,10/10/2025,POOR
679745,272822,SGL-779,EASTLAKE AVE E AND E ROANOKE ST,10/10/2025,POOR
679746,272823,SGL-530,BEACON AVE S AND S SPOKANE ST,10/16/2025,POOR
679747,272824,SGL-923,4TH AVE S AND S STACY ST,10/10/2025,FAIR
679750,272827,SGL-712,15TH AVE NW AND HOLMAN RD NW,10/10/2025,FAIR
679751,272828,SGL-801,ROOSEVELT WAY NE AND NE 42ND N ST,8/27/2025,POOR
679753,272830,SGL-18,3RD AVE AND JAMES ST,10/10/2025,POOR
679755,272832,SGL-961,PALATINE AVE N AND N 85TH ST,10/10/2025,POOR
679757,272834,SGL-17,9TH AVE NE AND NE 50TH ST,4/28/2025,POOR
679759,272836,SGL-163,BOREALIS AVE AND BATTERY ST,1/29/2025,POOR
679760,272837,SGL-367,BROOKLYN AVE NE AND NE 50TH ST,5/12/2025,FAIR
679761,272838,SGL-111,6TH AVE AND STEWART ST,8/26/2025,POOR
679762,272839,SGL-251,3RD AVE NW AND HOLMAN RD NW,10/10/2025,POOR
679763,272840,SGL-23,4TH AVE AND JEFFERSON ST,10/10/2025,FAIR
679772,272848,SGL-774,4TH AVE S AND S DAWSON ST,10/10/2025,POOR
679775,272851,SGL-619,1ST AV S BR NB AND EAST MARGINAL WAY S,10/10/2025,FAIR
679780,272856,SGL-327,EASTLAKE AVE E AND HARVARD AVE E,10/10/2025,FAIR
